video_id,category,days_observed,first_age_days,first_daily_views,last_views,half_life_days
xtR7m-Fl-F0,education,6,7.04,16147,351991,5.73
xvmTr6S00Aw,entertainment,10,1.08,1028155,2915910,1.574
xwXP7vB4mlY,people_blogs,9,2.14,46790,497856,2.162
xxQhWrAcQnE,entertainment,6,1.29,1785512,5463288,0.666
y0BlGqwLLGQ,entertainment,9,2.3,14003,2109732,
y3qfeoqErtY,entertainment,8,1.35,839543,1841658,1.489
y4EbUvQ4a5s,film,4,1.37,15691,34232,1.035
y7QjFRtt-sg,people_blogs,6,1.17,90040,275230,1.301
y8lFgF_IjPw,film,7,1.46,699422,1865136,1.96
yA4xvRkZYjs,howto,4,3.33,59004,953936,2.381
yAqHUwjnue4,sports,9,2.08,28339,575083,2.104
yArprk0q9eE,education,5,2.37,82838,1026275,2.697
yBXcNcBnImc,autos,4,2.19,20736,277651,1.369
yDiXQl7grPQ,science_tech,14,2.24,8783109,42799458,2.62
yFRPhi0jhGc,education,8,6.29,10067,697217,10.604
yF_EbNjQq3E,music,4,1.76,5277,23082,3.706
yJqsPBWbtjk,entertainment,8,2.23,296073,1547151,2.307
yKVAhDbSito,howto,5,1.26,984472,3100935,1.147
yLdav-8af6g,film,5,2.12,41603,240314,1.012
yMf3dvNzXbU,comedy,8,3.08,52179,520071,3.208
yMvpbrJ1CWQ,comedy,6,1.75,352313,1983087,1.526
yN7N0P2TxHQ,music,6,1.29,253883,1086860,3.919
yO9snUMvRuU,music,16,2.17,223742,2593345,6.737
yOZf7zIf6fM,entertainment,5,1.81,41925,97710,0.819
yRCsqCC7PFg,comedy,5,1.11,110944,371024,1.38
ySBjb4_JGtY,howto,5,1.25,31393,104200,1.484
ySFJtla2LY4,entertainment,5,1.29,280575,647369,1.447
ySy8mcceTno,entertainment,5,1.33,1891246,6263424,2.058
yWjRvhfjpI8,comedy,13,1.84,167178,1229307,9.953
yXLo4iOb3GU,people_blogs,4,2.06,18818,175541,1.523
yZG0wggoEqI,entertainment,7,2.46,45059,989439,1.124
yZMRXTmFzPs,howto,7,0.91,194962,469727,1.643
y_WoOYybCro,entertainment,10,2.33,518586,2574791,3.056
ya6CQrFacIY,music,6,1.25,149844,499979,2.829
ycuMyyqBWQY,people_blogs,7,2.37,387728,3536070,1.529
ycy30LIbq4w,music,14,1.81,1053530,13075811,25.503
ydPYNo8o-lI,music,11,1.79,396638,3266179,12.472
yh1NAMi2oLg,travel,8,2.42,117153,2160639,
yigx1EjB85s,entertainment,5,2.08,14847,54338,1.557
yirvgC-kMq0,entertainment,5,3.39,458,3311,8.422
ykHeGtN4m94,film,8,1.1,883939,3064780,1.791
yleuZbY8rKk,entertainment,10,1.87,107901,446704,3.725
ys6KVWA4okw,entertainment,6,1.58,495815,1813877,1.227
yvicqMrAHvQ,travel,6,1.0,3693729,23932421,
ywcNsJb2v2U,pets,4,3.24,507227,2018667,3.844
ywm84JNihIg,film,11,3.25,120183,675659,2.615
yxFdue1dCtE,sports,4,1.95,8626,141492,0.828
